job_id,title,company,published,expires,city,occupation,category,skills,has_city,has_occupation,has_skills
0112ac82-d16e-449b-8ae0-17e5bb874829,Vil du være med å styrke vår informasjonsforvaltning? ,"Informasjonsforvaltning, Lørenskog kommune",2026-08-03T00:00:00+02:00,2026-08-24T00:00:00+02:00,LØRENSKOG,Not classified,Not classified,"Arkiv, Brukerstøtte, Digitalisering, Dokumentasjonsforvaltning, Informasjonsforvaltning, Innsynskrav, Journalføring, Kvalitetssikring, Offentlig journal, Rådgiver",True,False,True
050bb19a-a9a0-406d-8902-7f211502cd63,Nattsykepleier,"Skien Helsehus, Skien kommune",2026-08-03T00:00:00+02:00,2026-08-31T00:00:00+02:00,SKIEN,Not classified,"Sykepleier, Sykepleier, Sykepleiere","Helsehus, Kommunal helse, Korttidsopphold, Medikamenthåndtering, Nattarbeid, Nattsykepleier, Observasjon, Pasientoppfølging, Rehabilitering, Sykepleier",True,False,True
0af40df5-b09f-46fb-b6a6-37f943aee756,Nyetablert oppfølgingsteam for barn/familier søker engasjerte psykologspesialister,BUPA Drammen,2026-08-03T00:00:00+02:00,2026-08-23T00:00:00+02:00,DRAMMEN,Not classified,"Psykologspesialist, Psykologspesialist, Psykologer","Ambulant arbeid, Barn, Barne- og ungdomspsykologi, Behandling, Familieoppfølging, Helseforetak, Psykisk helse, Psykologspesialist, Teamleder, Tverrfaglig team",True,False,True
0bc718d8-c7ea-4eb0-a9f5-efa112642bd5,Overlege,"Klinikk psykisk helse og avhengighet, BUP Oslo Syd, Enhet Østensjø, Oslo universitetssykehus HF",2026-08-03T00:00:00+02:00,2026-08-24T00:00:00+02:00,OSLO,Not classified,"Overlege, Overlege, Legespesialister","Barne- og ungdomspsykiatri, Behandling, Lege, Overlege, Poliklinikk, Psykisk helse, Spesialist, Sykehus, Tverrfaglig samarbeid, Utredning",True,False,True
0c18cc8c-d807-4a6b-bf60-58a91241c2a0,Helsefagarbeider,"Vensmoen 2, Saltdal kommune",2026-08-03T00:00:00+02:00,2026-08-23T00:00:00+02:00,ROGNAN,Not classified,"Helsefagarbeider, Helsefagarbeider, Helsefagarbeidere","Brukermedvirkning, Eldreomsorg, Helse, Helsefagarbeider, Miljøarbeid, Omsorg, Omsorgsbolig, Pleie, Rehabilitering",True,False,True
135533cb-0687-4caa-867d-90187cd6456d,Fjell sjukeheim,Øygarden kommune Fjell sjukeheim,2026-08-03T00:00:00+02:00,2026-08-23T00:00:00+02:00,STRAUME,Not classified,"Sykepleier, Sykepleier, Sykepleiere","Blodprøvetaking, Helse, Miljøarbeid, Omsorg, Pasientbehandling, Sykehjem, Sykepleier, Tverrfaglig samarbeid",True,False,True
18cc3948-fec9-4983-9793-a5ac7f98c67c,Vi søker en dyktig teknisk supportingeniør - bli med og forme fremtiden i et inkluderende ingeniørmiljø,Kongsberg Gruppen Kongsberg Defence & Aerospace - Defence Systems - Naval Systems,2026-08-03T00:00:00+02:00,2026-08-24T00:00:00+02:00,KONGSBERG,Not classified,"Prosjektingeniør teknisk salg, Prosjektingeniør teknisk salg, Salgskonsulenter innen tekniske og medisinske produkter","Elektro, Forsvar, Industriteknikk, Ingeniør, Lab, Mekatronikk, Produktutvikling, Prosjektledelse, Systemforståelse, Teknisk support",True,False,True
1bc86a21-a086-4cf4-ae77-9f161879f8c6,Sykepleier fast 100% stilling i bolig!,"Gjestadtunet 2 sør, Ullensaker kommune",2026-08-03T00:00:00+02:00,2026-08-24T00:00:00+02:00,JESSHEIM,Not classified,"Onkologisk sykepleier, Onkologisk sykepleier, Spesialsykepleiere","Bolig, Funksjonsnedsettelse, Helse, Miljøterapeut, Omsorg, Pleie, Sykepleier, Tverrfaglig samarbeid, Utviklingshemming, Vernepleier",True,False,True
23b1f18f-8d55-4176-9db1-8959704aece5,Er du helsesykepleier og ønsker å jobbe i Bærum? Da har du muligheten nå,"Helsestasjonstjenester og ergo-fysio, Bærum kommune",2026-08-03T00:00:00+02:00,2026-08-31T00:00:00+02:00,SANDVIKA,Not classified,"Helsesykepleier, Helsesykepleier, Spesialsykepleiere","Barn, Familiearbeid, Forebyggende arbeid, Helsefremmende arbeid, Helsestasjon, Helsesykepleier, Journalføring, Sykepleier, Tverrfaglig samarbeid",True,False,True
29924a43-51ae-4c7f-8223-655b693b1e96,Helsesykepleier,"Enhet skolehelsetjeneste barn, Oslo kommune, Bydel St. Hanshaugen",2026-08-03T00:00:00+02:00,2026-08-17T00:00:00+02:00,OSLO,Not classified,"Helsesykepleier, Helsesykepleier, Spesialsykepleiere","autorisasjon, barn og unge, familiearbeid, forebyggende helse, helse, helsestasjon, helsesykepleier, skole, skolehelsetjeneste, sykepleier",True,False,True
