conceptType,conceptUri,skillType,reuseLevel,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7dd94ad3-13d6-43fe-8b94-51fcbf67ced9,skill/competence,transversal,tenke kritisk,released,vurdere informasjon | vurdere informasjon og dens kilder | kritisk vurdere informasjon og dens kilder,"Bedømme og forsvare bedømmelser basert på interne bevis og eksterne kriterier. Vurdere troverdigheten og påliteligheten til informasjon kritisk før den tas i bruk eller formidles til andre. Utvikle uavhengig og kritisk tenkning.
  ",http://data.europa.eu/esco/skill/fff1d675-c36a-4c12-9cd4-407f21ccd06a,"behandle informasjon, ideer og konsepter"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7f321b88-3d16-4e30-8163-5494ca8ce978,skill/competence,transversal,engasjere andre i en miljøvennlig livsstil,released,gå inn for bærekraft | fremme bærekraft | fremme miljøvennlig atferd | informere om bærekraft | oppmuntre andre til å respektere miljøet,"Informere om og fremme miljøvennlig atferd i sosiale medier og på jobb.
  ",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,bruke miljørelatert kompetanse
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/83e6510b-ffeb-4aec-959c-4265fd0ff7b7,skill/competence,transversal,ha øye for detaljer,released,,"Gjennomføre en oppgave ved å ta hensyn til alle berørte parter, uavhengig av størrelse.",http://data.europa.eu/esco/skill/14c41899-0224-4cbc-bd8c-e946ada2da87,arbeide effektivt
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/88b0c49e-7c2e-4ccc-aca3-fbd4bbc2081c,skill/competence,transversal,gjøre ansvarlig bruk av helsevesenet,released,finne riktig helsetjeneste | administrere passende medisiner | bruke forebyggende tiltak for å unngå fysisk eller psykisk skade,"Identifisere og velge de riktige helsetjenesteyterne og -tjenestene (forebygging eller behandling), og håndtere medisinering på en trygg måte.
  ",http://data.europa.eu/esco/skill/3d54fec5-d9cb-45a0-bf8d-ffaf3790a5bb,bruke helserelatert kompetanse
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/896a5e0c-7ac9-4e59-a9bf-17fdca6b1c37,skill/competence,transversal,fremme prinsippene for demokrati og rettssikkerhet,released,støtte likestilling | fremme en kultur for fred og ikke-vold | bekjempe diskriminering | implementere likestillingspolitikk | integrere likestillingsaspektet | støtte demokratiet | demonstrere forståelse for europeiske fellesverdier | konfrontere diskriminering | støtte integrering av kjønn,"Bidra aktivt til å fremme prinsippene knyttet til demokrati, sosial rettferdighet og rettssikkerhet. Bekjempe diskriminering basert på etnisk, kulturell eller seksuell identitet eller orientering, eller på sosial, utdanningsmessig eller økonomisk bakgrunn, ved å ta hensyn til og tydeliggjøre følgene for ulike grupper av planlagte handlinger, inkludert lovgivning, politikk eller programmer.
	",http://data.europa.eu/esco/skill/d6e97b91-b75d-45f5-8566-667798957b0f,anvende medborgerkompetanse
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/93350886-a21b-4e61-a1b1-319a325c0f90,skill/competence,transversal,uttrykke seg kreativt,released,"synge | tegne | uttrykke ideer, opplevelser og følelser kreativt | demonstrere sans for rytme | male | danse | uttrykke seg kunstnerisk | spille instrumenter","Ha evnen til å uttrykke kreativt  gjennom sang, dans, instrumentalmusikk, skuespill eller kunst.
  ",http://data.europa.eu/esco/skill/6115ff80-3d84-4e87-8e2b-6ede7ee004b4,anvende kulturell kompetanse
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/96de2e86-e287-41f2-88ab-15a2343afc6f,skill/competence,transversal,løse konflikter,released,vise vilje til kompromisser | håndtere konflikter | kunne skape konsensus | kunne finne kompromisser,"Mekle i konflikter og anspente situasjoner ved å gå mellom partene  og forsøke å forsone, løse problemer og komme fram til en avtale. Løse en konflikt på en slik måte at ingen føler seg dårlig behandlet, og unngå krangling fra første stund.
  ",http://data.europa.eu/esco/skill/6f142deb-03a9-4cd7-94ce-e0f023ae2169,kommunisere
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/98a999db-72d5-4657-a0b0-2f850afd4368,skill/competence,transversal,sette pris på mangfoldige kulturelle og kunstneriske uttrykk,released,sette pris på kunstneriske uttrykk | ha sans for estetikk | vise kulturell bevissthet | sette pris på kulturarven,"Utvise estetisk sans, interesse for og åpenhet for kunstneriske uttrykk fra ulike kulturelle bakgrunner.
  ",http://data.europa.eu/esco/skill/6115ff80-3d84-4e87-8e2b-6ede7ee004b4,anvende kulturell kompetanse
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9bf266a6-188b-4d17-a22f-2f266d76832b,skill/competence,transversal,vise vilje til å lære,released,,Vise en positiv holdning til nye og utfordrende krav som bare kan oppfylles gjennom livslang læring.,http://data.europa.eu/esco/skill/f5c9eef3-0495-4747-9519-d71a58d252bd,utvise vilje til å lære
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9c0f93f7-2592-4d4d-9673-fd640502345f,skill/competence,transversal,"bruke utstyr, verktøy eller teknologi med presisjon",released,bruke håndverktøy | vise teknisk innsikt | bruke presisjonsinstrumentering | utføre manuelle aktiviteter,"Bruke arbeidsemner, verktøy, presisjonsinstrumenter eller utstyr uavhengig for å utføre manuelle aktiviteter, med eller uten opplæring.
  ",http://data.europa.eu/esco/skill/ccb6db6a-8538-431c-b740-5f241bdb71cf,håndtere og kontrollere gjenstander og utstyr
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9cfd2219-553c-4d67-81e5-951e87c65135,skill/competence,transversal,holde seg konsentrert i lange perioder,released,,Holde seg konsentrert i lange perioder for å kunne utføre korrekte vurderinger og ta riktige beslutninger.,http://data.europa.eu/esco/skill/14c41899-0224-4cbc-bd8c-e946ada2da87,arbeide effektivt
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a628d2d1-f40a-4c37-a357-2801726f2996,skill/competence,transversal,identifisere problemer,released,signalisere problemer | oppdage problemer | diagnostisere problemer,"Identifisere og påvise problemer og utfordringer, og velge den beste fremgangsmåten. Melde fra om problemer etter behov.
  ",http://data.europa.eu/esco/skill/13d301d0-98cb-414f-a8f9-a3f059228133,håndtere problemer
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a68bdf1e-b325-4880-b456-192c2891931a,skill/competence,transversal,holde seg i god fysisk form,released,legge seg til en sunn livsstil | bry seg om formen sin | bruke forebyggende sunn atferd | holde seg i god form,"Legge seg til sunne og sykdomsforebyggende vaner, herunder regelmessig fysisk trening, en god søvnrutine og et sunt kosthold.
  ",http://data.europa.eu/esco/skill/3d54fec5-d9cb-45a0-bf8d-ffaf3790a5bb,bruke helserelatert kompetanse
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/adc6dc11-3376-467b-96c5-9b0a21edc869,skill/competence,transversal,løse problemer,released,håndtere problemer | utvikle strategi for å løse problemer | handle intuitivt | bruke problemløsning | skape løsninger på problemer | demonstrere problemløsningsferdigheter | lage strategier for å løse problemer | komme opp med strategi for å løse problemer | utvikle strategier for å løse problemer,"Finne løsninger på praktiske, operasjonelle eller konseptuelle problemer i mange ulike sammenhenger.
  ",http://data.europa.eu/esco/skill/13d301d0-98cb-414f-a8f9-a3f059228133,håndtere problemer
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/b00e948c-19be-4951-8cff-60f88f1046e9,skill/competence,transversal,delegere ansvar,released,delegere,"Delegere ansvar, aktiviteter og oppgaver til andre i henhold til evne, forberedelsesgrad og kompetanse. Forsikre seg om at personene man delegerer til, forstår hva de skal gjøre, og når de skal gjøre det.
	",http://data.europa.eu/esco/skill/fe5eabaa-63f6-4c44-b405-fc3ded8d56cb,lede andre
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/b080a008-a35d-4bd0-92e9-edf3773bb2b7,skill/competence,transversal,bruke programvare for kommunikasjon og samarbeid,released,kommunisere på nettet | kommunisere på nett | kommunisere i digitale miljøer | bruke e-postprogramvare og -tjenester | samhandle gjennom IKT,"Bruke enkle digitale verktøy og teknologi for å kommunisere, samhandle og samarbeide med andre.
  ",http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab,arbeide med digitale enheter og applikasjoner
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/b19e0820-a96f-4c0a-a724-3c056180c1b3,skill/competence,transversal,skape lagånd,released,organisere et lag | arrangere teambuilding | arrangere teambygging | designe teambuilding | bygge lag | planlegge teambygging,"Skape et forhold bygd på gjensidig tillit, respekt og samarbeid mellom lagmedlemmene.
  ",http://data.europa.eu/esco/skill/fe5eabaa-63f6-4c44-b405-fc3ded8d56cb,lede andre
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/b40584aa-7c63-4eed-9422-a9798fb95fdc,skill/competence,transversal,improvisere,released,vise talent for improvisasjon | demonstrere evne til å improvisere,"Ha evnen til å improvisere og reagere umiddelbart, og uten å planlegge på forhånd, i situasjoner du ikke har opplevd tidligere.
  ",http://data.europa.eu/esco/skill/e84d080a-ff6d-41a7-b7b9-133e97c7bf00,tenke kreativt og innovativt
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/b618584f-6bdf-4d8f-89a7-f28c2c95afc2,skill/competence,transversal,overholde forskrifter,released,følge instruksjoner og prosedyrer | arbeide på en hensynsfull måte | overholde lovbestemmelser | følge lover eller retningslinjer,"Overholde og respektere regler, forskrifter og retningslinjer for et bestemt område eller en bestemt sektor, og anvende dem i det daglige arbeidet.
  ",http://data.europa.eu/esco/skill/925af2b5-2f4d-4cce-92cc-79e1ff887c7d,etterleve etiske retningslinjer
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/b6bdf202-524f-475d-b813-2aa9af005c37,skill/competence,transversal,flytte gjenstander,released,lagre varer | flytte og løfte gjenstander | klatre | laste og losse gods og materialer | utføre fysiske aktiviteter | løfte ting,"Utføre fysiske bevegelser for å flytte, laste, losse, eller lagre gjenstander, eller klatre i strukturer, for hånd eller ved hjelp av utstyr.
	",http://data.europa.eu/esco/skill/ccb6db6a-8538-431c-b740-5f241bdb71cf,håndtere og kontrollere gjenstander og utstyr
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ba93b71b-c433-4a01-8246-ed2daa85a9a2,skill/competence,transversal,foreta søk på nett,released,bruke Yahoo-søk | søke etter informasjon på nettet | bruke Google-søk | se etter informasjon på internett | bruke Bing | bruke søkemotor,"Søke etter data, informasjon og innhold gjennom enkle søk i digitale miljøer.
  ",http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab,arbeide med digitale enheter og applikasjoner
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bc0b0b5d-f6be-405a-b224-b6902a4dbe97,skill/competence,cross-sector,administrere digital identitet,released,,"Skape og forvalte ett eller flere digitale identiteter, være i stand til å beskytte eget omdømme, håndtere de dataene man produserer gjennom flere digitale verktøy, miljøer og tjenester.",http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab,digital kommunikasjon og digitalt samarbeid | arbeide med digitale enheter og applikasjoner
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bcf002ce-90f8-42e5-ac1b-5dba208639b0,skill/competence,transversal,utvise troverdighet,released,være pålitelig | etablere tillit | være ærlig | være til å stole på,"Utvise ærlighet, integritet og troverdighet på arbeidsplassen. Være lojal overfor sine medarbeidere og organisasjon, og vise at man er pålitelig.
  ",http://data.europa.eu/esco/skill/925af2b5-2f4d-4cce-92cc-79e1ff887c7d,etterleve etiske retningslinjer
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bdcf429c-5ccf-4c3d-bb61-4c987573a35e,skill/competence,transversal,utvise gründerånd,released,identifisere muligheter | vise vilje til å ta risiko | demonstrere entreprenørskap | forfølge muligheter,"Utvikle, organisere og administrere et eget foretak, identifisere og satse på muligheter og mobilisere ressurser, med sikte på å oppnå utbytte. Utvise en proaktiv holdning og vilje til å skape en god bedrift.
	",http://data.europa.eu/esco/skill/6c6957bf-cf1f-4483-9c7e-1655f251b01a,anvende gründer- og økonomikompetanse
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/be6ab363-3de1-427f-a8ef-85d5b0250822,skill/competence,transversal,rapportere fakta,released,,Gjengi informasjon eller gjenfortelle hendelser muntlig.,http://data.europa.eu/esco/skill/6f142deb-03a9-4cd7-94ce-e0f023ae2169,kommunisere
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bf4d884f-c848-402a-b130-69c266b04164,skill/competence,transversal,anvende grunnleggende programmeringskunnskaper,released,bruke spørringsspråk | bruke grunnleggende kodeferdigheter,"Utarbeide enkle instruksjoner for et datasystem for å løse problemer eller utføre oppgaver på et grunnleggende nivå, om nødvendig med egnet veiledning.
  ",http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab,arbeide med digitale enheter og applikasjoner
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bf983f2a-e941-4646-811d-cc81060cb53f,skill/competence,transversal,bygge nettverk,released,skape nettverk | etablere kontakter | vise evne til å bygge nettverk | ha kontakt med andre | opprettholde kontakt med andre | knytte kontakter | bygge effektive relasjoner | vedlikeholde nettverk,"Utvise evne til å opprette effektive relasjoner, utvikle og opprettholde allianser, kontakter eller partnerskap, og utveksle informasjon med andre.
  ",http://data.europa.eu/esco/skill/036afa6e-cdde-4b38-a53a-8e7910a840e1,samarbeide i team og nettverk
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c10d5d87-36cf-42f5-8a12-e560fb5f4af8,skill/competence,transversal,demonstrere interkulturell kompetanse,released,,"Forstå og respektere mennesker som anses for å ha en annen kulturell tilhørighet, og respondere effektivt og respektfult til dem.",http://data.europa.eu/esco/skill/036afa6e-cdde-4b38-a53a-8e7910a840e1,samarbeide i team og nettverk
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c29aa9d2-4da8-4bdd-831c-8d4a2fb51730,skill/competence,transversal,arbeide selvstendig,released,,"Utvikle egne måter å gjøre ting på, motivere seg selv med lite eller ikke noe tilsyn, og være avhengig av seg selv for å få ting gjort.",http://data.europa.eu/esco/skill/14c41899-0224-4cbc-bd8c-e946ada2da87,arbeide effektivt
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c2a0c52c-0b4b-4180-a918-92650ea3b458,skill/competence,transversal,tenke innovativt,released,vise innovativitet | bruke fremtidsrettethet | finne opp | bruke innovativ tenkning | vise pionerånd | forme fremtiden | tenke fremover | være nyskapende,"Utvikle ideer eller konklusjoner som fører til at innovasjoner eller endringer skapes og gjennomføres.
  ",http://data.europa.eu/esco/skill/e84d080a-ff6d-41a7-b7b9-133e97c7bf00,tenke kreativt og innovativt
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c4180af3-befd-4bd8-9a65-6a496f9d9f15,skill/competence,transversal,være bevisst helserisikoer,released,"håndtere helserisiko | kjenne til effektene av narkotika og alkohol på enkeltpersoner, familier og lokalsamfunn | oppfylle helse- og sikkerhetskrav | bruke ergonomi | arbeide trygt med farlig materiale | følge sikkerhetsforskriftene på arbeidsplassen","Ha evnen til å bedømme og håndtere helserisikoer, for eksempel ved å følge sikkerhetstiltak i arbeidsrutiner, anvende brannsikringstiltak, respektere og anvende ergonomikrav og ta hensyn til virkningene av rusmidler og alkohol på enkeltpersoner, familier og lokalsamfunn.
  ",http://data.europa.eu/esco/skill/3d54fec5-d9cb-45a0-bf8d-ffaf3790a5bb,bruke helserelatert kompetanse
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c624c6a3-b0ba-4a31-a296-0d433fe47e41,skill/competence,transversal,tenke kreativt,released,,Skape nye ideer eller kombinere eksisterende løsninger for å utvikle nye løsninger.,http://data.europa.eu/esco/skill/e84d080a-ff6d-41a7-b7b9-133e97c7bf00,tenke kreativt og innovativt
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d56e2c2f-3e01-4b76-a7bb-ecb6d430172f,skill/competence,transversal,tenke helhetlig,released,demonstrere helhetstenkning | identifisere sentrale problemstillinger i komplekse situasjoner | forstå komplekse prosesser | bruke systemisk tenkning | gjenkjenne forbindelser | forstå kompleksitet | identifisere innbyrdes sammenhenger | bruke konseptuell tenkning,"Ta hensyn til indirekte og langsiktige konsekvenser ved planlegging og beslutningstaking. Vurdere innvirkningen på andre mennesker, prosesser og miljøet, og inkludere disse i planleggingsprosessen.
  ",http://data.europa.eu/esco/skill/fff1d675-c36a-4c12-9cd4-407f21ccd06a,"behandle informasjon, ideer og konsepter"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d62d2b4c-a6f8-439e-8a1b-4f29ab5f2c47,skill/competence,transversal,ta avgjørelser,released,,Ta et valg blant flere alternative muligheter.,http://data.europa.eu/esco/skill/91860993-1a8b-4473-91f3-600aa1924bd0,ha en proaktiv tilnærming
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d822b4b2-26c7-4bd9-970d-229c6504f615,skill/competence,transversal,skape digitalt innhold,released,,"Skape og redigere enkelt digitalt innhold, om nødvendig med veiledning.
  ",http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab,arbeide med digitale enheter og applikasjoner
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d9013e0e-e937-43d5-ab71-0e917ee882b8,skill/competence,transversal,administrere tid,released,,"Planlegge tidssekvensen for arrangementer, programmer og aktiviteter samt arbeidet til andre.",http://data.europa.eu/esco/skill/14c41899-0224-4cbc-bd8c-e946ada2da87,arbeide effektivt
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d9449998-c1f5-478c-a103-2255398cf0b6,skill/competence,transversal,anvende hygienestandarder,released,ivareta hygiene | ha omsorg for hygiene | identifisere hygienerisikoer | følge hygieniske arbeidsrutiner | passe på renslighet | passe på hygienen,"Ta personlig ansvar for å garantere et trygt arbeids- og bomiljø der man ikke utsettes for smitte, herunder gjennom bruk av masker og desinfeksjonsmidler og god personlig hygiene.
  ",http://data.europa.eu/esco/skill/3d54fec5-d9cb-45a0-bf8d-ffaf3790a5bb,bruke helserelatert kompetanse
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/db33c0f3-43ee-4ba3-ba47-9269ac837697,skill/competence,transversal,vurdere informasjon og kilder kritisk,released,vurdere informasjon | kontrollere informasjonskilden | sjekke fakta | oppdage ensidighet | kontrollere informasjon | veie informasjon | forstå medias rolle i demokratiske samfunn,"Ha evnen til å vurdere og analysere informasjon og kilder. Vise evne til å bruke både tradisjonelle og nye medier, samt til kritisk forståelse av deres rolle og funksjon i demokratiske samfunn.
	",http://data.europa.eu/esco/skill/d6e97b91-b75d-45f5-8566-667798957b0f,anvende medborgerkompetanse
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/dcc99418-d896-4b3b-8596-658093a17a8f,skill/competence,transversal,håndtere kroniske helsetilstander,released,"oppsøke passende omsorg | bruke høre-, se- eller ganghjelpemidler","Identifisere og bruke måter å minske virkningene av kroniske helsetilstander på, inkludert bruk av syns-, hørsels- og ganghjelpemidler, egnede medisiner og tilstrekkelig sosial og medisinsk støtte.
	",http://data.europa.eu/esco/skill/3d54fec5-d9cb-45a0-bf8d-ffaf3790a5bb,bruke helserelatert kompetanse
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/deb3c1bc-d48a-42e6-b0cc-cb238534ec28,skill/competence,transversal,anvende kunnskap innen samfunnsvitenskap og humaniora,released,vise interesse for politikk | vise sosial kunnskap | demonstrere kunnskap om europeisk historie | forstå rollen til sosiale bevegelser i samfunnet,"Vise forståelse av sosiale og politiske gruppers natur, pluralitet og funksjon og deres forhold til sosioøkonomiske sider av samfunnet. Forstå enkeltpersoners rolle og posisjon i samfunnet.
  ",http://data.europa.eu/esco/skill/44ff6716-7d71-4a16-821b-61d10e9e290d,anvende generell kunnskap
